"year","n_total","n_ds","pct_ds","avg_mDKK"
2017,297,0,0,2.56039793939394
2018,297,5,1.68350168350168,3.53496906397306
2019,338,11,3.25443786982249,4.0125109408284
2020,389,24,6.16966580976864,4.78764271465296
2021,394,24,6.09137055837564,5.07991319543147
2022,486,31,6.37860082304527,4.77236700205761
2023,471,42,8.9171974522293,4.624536
2024,498,55,11.0441767068273,5.50935676506024
