"grant_id","year","oecd_short","is_ds","duration_years"
"NNF24OC0089036",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089074",2024,"Humanities",FALSE,0.91170431211499
"NNF24OC0089089",2024,"Health",FALSE,6.99520876112252
"NNF24OC0089108",2024,"Humanities",FALSE,0.996577686516085
"NNF24OC0089118",2024,"Engineering & Tech",FALSE,3.99726214921287
"NNF24OC0089121",2024,"Engineering & Tech",FALSE,4.99657768651609
"NNF24OC0089128",2024,"Engineering & Tech",FALSE,6.99520876112252
"NNF24OC0089159",2024,"Engineering & Tech",TRUE,3.99726214921287
"NNF24OC0089167",2024,"Natural Sciences",FALSE,4.99657768651609
"NNF24OC0089168",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089176",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089193",2024,"Health",FALSE,3.49349760438056
"NNF24OC0089207",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089216",2024,"Humanities",FALSE,1.50034223134839
"NNF24OC0089223",2024,"Humanities",FALSE,2.99794661190965
"NNF24OC0089232",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089256",2024,"Health",FALSE,2.99520876112252
"NNF24OC0089279",2024,"Health",FALSE,2.99520876112252
"NNF24OC0089292",2024,"Humanities",FALSE,1.9958932238193
"NNF24OC0089302",2024,"Natural Sciences",TRUE,6.99794661190965
"NNF24OC0089304",2024,"Humanities",FALSE,2.97056810403833
"NNF24OC0089331",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089345",2024,"Health",FALSE,3.57837097878166
"NNF24OC0089357",2024,"Health",FALSE,2.99520876112252
"NNF24OC0089362",2024,"Health",FALSE,2.99520876112252
"NNF24OC0089367",2024,"Humanities",FALSE,2.99794661190965
"NNF24OC0089373",2024,"Health",FALSE,3.99726214921287
"NNF24OC0089436",2024,"Health",FALSE,1.99863107460643
"NNF24OC0089461",2024,"Natural Sciences",TRUE,2.99794661190965
"NNF24OC0089497",2024,"Agriculture & Vet",TRUE,4.99657768651609
"NNF24OC0089502",2024,"Natural Sciences",FALSE,5.3305954825462
"NNF24OC0089508",2024,"Health",FALSE,2.99520876112252
"NNF24OC0089549",2024,"Health",FALSE,0.996577686516085
"NNF24OC0089563",2024,"Health",FALSE,3.99726214921287
"NNF24OC0089577",2024,"Health",TRUE,3.99726214921287
"NNF24OC0089608",2024,"Natural Sciences",TRUE,3.99726214921287
"NNF24OC0089619",2024,"Natural Sciences",TRUE,4.99657768651609
"NNF24OC0089652",2024,"Health",FALSE,0.996577686516085
"NNF24OC0089658",2024,"Health",FALSE,0.996577686516085
"NNF24OC0089705",2024,"Natural Sciences",FALSE,0.996577686516085
"NNF24OC0089722",2024,"Health",FALSE,2.99520876112252
"NNF24OC0089742",2024,"Agriculture & Vet",FALSE,6.99520876112252
"NNF24OC0089746",2024,"Health",FALSE,0.996577686516085
"NNF24OC0089770",2024,"Natural Sciences",FALSE,6.99520876112252
"NNF24OC0089788",2024,"Natural Sciences",FALSE,4.99657768651609
"NNF24OC0089800",2024,"Engineering & Tech",FALSE,3.99726214921287
"NNF24OC0089809",2024,"Health",FALSE,1.492128678987
"NNF24OC0089821",2024,"Health",FALSE,4.99657768651609
"NNF24OC0089849",2024,"Agriculture & Vet",FALSE,6.99520876112252
"NNF24OC0089862",2024,"Health",FALSE,2.99794661190965
"NNF24OC0089906",2024,"Engineering & Tech",FALSE,7.14852840520192
"NNF24OC0089984",2024,"Engineering & Tech",FALSE,6.99520876112252
"NNF24OC0089993",2024,"Natural Sciences",FALSE,3.08281998631075
"NNF24OC0090026",2024,"Agriculture & Vet",FALSE,1.9958932238193
"NNF24OC0090035",2024,"Health",FALSE,2.99520876112252
"NNF24OC0090135",2024,"Natural Sciences",FALSE,6.99520876112252
"NNF24OC0090151",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090205",2024,"Natural Sciences",FALSE,2.99520876112252
"NNF24OC0090245",2024,"Natural Sciences",TRUE,3.16495550992471
"NNF24OC0090253",2024,"Natural Sciences",FALSE,6.99520876112252
"NNF24OC0090256",2024,"Engineering & Tech",FALSE,6.99520876112252
"NNF24OC0090257",2024,"Natural Sciences",FALSE,7.57837097878166
"NNF24OC0090420",2024,"Natural Sciences",FALSE,0.996577686516085
"NNF24OC0090447",2024,"Natural Sciences",TRUE,3.99726214921287
"NNF24OC0090461",2024,"Health",FALSE,2.99520876112252
"NNF24OC0090463",2024,"Agriculture & Vet",FALSE,0.583162217659138
"NNF24OC0090482",2024,"Natural Sciences",FALSE,3.99726214921287
"NNF24OC0090485",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090503",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090521",2024,"Health",TRUE,0.996577686516085
"NNF24OC0090537",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090559",2024,"Natural Sciences",FALSE,3.32922655715264
"NNF24OC0090588",2024,"Agriculture & Vet",TRUE,2.99520876112252
"NNF24OC0090589",2024,"Engineering & Tech",FALSE,2.99520876112252
"NNF24OC0090609",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090651",2024,"Health",FALSE,0.996577686516085
"NNF24OC0090656",2024,"Natural Sciences",FALSE,1.3305954825462
"NNF24OC0090663",2024,"Engineering & Tech",FALSE,0.996577686516085
"NNF24OC0090669",2024,"Agriculture & Vet",FALSE,2.99520876112252
"NNF24OC0090674",2024,"Engineering & Tech",FALSE,0.996577686516085
"NNF24OC0090709",2024,"Health",FALSE,0.999315537303217
"NNF24OC0090728",2024,"Natural Sciences",FALSE,0.996577686516085
"NNF24OC0090736",2024,"Agriculture & Vet",TRUE,3.99726214921287
"NNF24OC0090764",2024,"Health",FALSE,1.9958932238193
"NNF24OC0090768",2024,"Health",FALSE,2.99794661190965
