"year","n","pct_ds","pct_ai"
2017,338,0,0
2018,332,1.50602409638554,1.20481927710843
2019,367,2.99727520435967,2.45231607629428
2020,458,5.67685589519651,3.7117903930131
2021,459,6.31808278867102,3.92156862745098
2022,592,5.40540540540541,4.22297297297297
2023,549,8.01457194899818,5.28233151183971
2024,547,10.2376599634369,7.12979890310786
