"Year","Title","Domain","Instrument","Institution","Amount (mDKK)","Abstract"
2023,"Online research infrastructure for receptor function and drug design","Health","Infrastructure","KU University of Copenhagen",12," We will create online data and tool resources for basic research and drug discovery for our largest family of drug targets, G protein-coupled receptors and their signaling proteins. This will enable scientists in Denmark and globally to uncover vital receptor functions and novel therapeutic targ..."
2023,"Recruitment of Professor Fran Supek to BRIC, University of Copenhagen","Health","Investigators","KU University of Copenhagen",8,"Genomes of all living organisms including humans accumulate errors, and this corruption of genetic information can cause disease. In particular cancer is a common malady caused by mutations that normally happen in somatic (bodily) cells, meaning they are not usually inherited like with other gene..."
2023,"A study on proteins’ dynamics and conformational changes using large language models","Health","Fellowships","KU University of Copenhagen",3.99,"Developing new protein biotherapeutics is a time-consuming and expensive process. An important process for improving the design process is to understand how proteins change shape to carry out their function and interact with other molecules. This research project aims to use Large Language models..."
2023,"Software for Quantum Design and Control (SQuaD)","Health","Projects","KU University of Copenhagen",0.99,"Good hardware is only as good as the software used to operate it, and quantum hardware is no different. Quantum technology is a rapidly developing and commercialising sector, with breakthrough applications in harnessing energy sources, materials and fundamental science underpinning a sustainable ..."
2023,"Early diagnostics of soil-borne plant pathogens using microfluidic chip technology","Health","Projects","Lund University",1,"Today our soils are at risk due to unsustainable farming practices such as heavy use of pesticides. At the same time, we still lose 20-40% of our total yields due to plant diseases. Agriculture needs new methods to protect their crops from diseases. In this project, we develop new systems for ear..."
2023,"Improving cardiovascular disease prevention with artificial intellingence for finding relevant information in electronic health records","Health","Projects","Region of Southern Denmark",0.99,"Health professionals have a hard time finding important information in electronic health records (EHRs) because there is a large amount of text to go through, and time is scarce in today's hospitals. This makes it unnecessarily difficult and time-consuming to diagnose and treat patients correctly..."
2023,"Creating a Rapid Phenotypic Antibiotic Susceptibility Test for Tuberculosis","Health","Projects","Uppsala University",1,"Multi-resistant Tuberculosis (TB) is a major threat to global health. Despite several initiatives from the WHO, the number of multi-resistant TB infections has not decreased significantly during the past decade. One of the most important reasons for this failure is the lack of effective diagnosti..."
2023,"SE3D: Synthetic health data: ethical development and deployment via deep learning approaches","Natural Sciences","Programmes and collaborations","AAU Aalborg University",11.32,"There is a large potential for using artificial intelligence (AI) for improving diagnosis and treatment of many diseases. Large amounts of clinical data are needed to train useful AI systems. However, patient data is person-sensitive and only select individuals can obtain access, which can be a h..."
2023,"Tensor Networks for Data Science: Stability, Efficiency and Explainability at Scale","Natural Sciences","Programmes and collaborations","DTU Technical University of Denmark",17.99,"Tensor networks represent exponentially large data structures in an efficient manner. This compressed representation can lead to dramatic improvements in storage and processing. Because of this, tensor networks have become a central tool in physics and quantum computation. While tensor networks a..."
2023,"Deep Fetal Development: AI for Fetal Development Analysis and Impact on Future Health of Mother and Child","Natural Sciences","Programmes and collaborations","KU University of Copenhagen",18.28,"The healthy development and growth of the child during pregnancy is influenced by the health of the mother and the genetics of the parents. Likewise, the development of the child influences the future health of the child and gives indications of the future health of the mother.  In this project w..."
