"Year","Title","Domain","Instrument","Institution","Amount (mDKK)","Abstract"
2022,"Twisting superconductivity out of atomic bilayers","Natural Sciences","Projects","AU Aarhus University",2.99,"A material that is capable of conducting electrical current with zero resistance is referred to as a superconductor. Despite far-reaching technological benefits of harnessing superconductivity, its fundamental quantum mechanical origin remains a great mystery for a wide range of materials. This p..."
2022,"Interactive deep learning for image segmentation","Natural Sciences","Projects","KU University of Copenhagen",2.66,"The ability to automatically identify regions in images that belong to specific structures, such as organs in a medical scan, are important in a wide range of research fields and industries. Artificial intelligence or more specifically deep learning is the current leading method for this. Unfortu..."
2022,"4th Workshop on Generative Models and Uncertainty Quantification","Natural Sciences","Symposia and conferences","DTU Technical University of Denmark",0.27,"Artificial intelligence is making inroads into almost all branches of science as it aids with the formation of scientific hypotheses from experimental data. A fundamental challenge is, thus, to develop artificially intelligent systems that is both understandable by the human operator and able to ..."
2022,"Single-cell Tracking Analytics for Reliable Bioprocesses (STARBio), Associate Professor, Stefan Junne","Engineering & Tech","Investigators","AAU Aalborg University",3,"Understanding the impact of the growth environment on individual cells and their interaction within populations across different bioreactor types and scales is important for i) an advanced process monitoring and control to achieve a high process robustness, especially for co- and mixed cultures; ..."
2021,"Danmarks Tekniske Universitet + Associate Professor + Mi Jung Park + Differentially-Private Machine Learning","Natural Sciences","Investigators","DTU Technical University of Denmark",12,"This research programme focuses on privacy-preserving machine learning, which enables us to use data without privacy violation. Differential privacy is a widely used notion, which adds noise to an algorithm to induce uncertainty about any individual’s participation in the dataset. However, this r..."
2021,"Arrhythmia mechanism-tailored assessment of sleep-disordered breathing in atrial fibrillation.","Health","Investigators","KU University of Copenhagen",24.98,"Atrial fibrillation (AF) is the most common heart rhythm disorder. It affects more than 33 million worldwide and increases the risk for stroke and mortality. Seventy percent of all AF patients also suffer from sleep-disordered breathing (SDB), which complicates AF management.  The goal of this re..."
2021,"Ultra-sensitive Bio-Magnetometers with Macro to Nano Resolution (BIO-MAG)","Engineering & Tech","Programmes and collaborations","DTU Technical University of Denmark",59.96,"Every nerve cell in our body produces a tiny magnetic field when it fires. If we had magnetic sensors sensitive enough to measure such faint signals - 10 million times weaker than the Earth’s magnetic field - we could non-invasively study the activity of neurons inside our bodies and gain a deepe..."
2021,"Mathematical Modelling for Microbial Community Induced Metabolic Diseases (MATOMIC)","Health","Programmes and collaborations","SDU University of Southern Denmark",46.16,"The obesity pandemic in westernised countries calls for novel therapeutic approaches in order to improve the life of affected individuals and to lower the societal burden. Changes in the composition of the microbiome, i.e., the mixture of microorganisms that live in the intestine and help humans ..."
2021,"Improving the diagnosis of chronic coronary syndrome: Development of a new diagnostic strategy using personalized and digital medicine","Health","Investigators","AU Aarhus University",10,"The purpose of this study is to 1) develop a new personal risk profile for atherosclerosis based on machine learning results from large data sets and 2) study the impact of advanced diagnostic test in patients with symptoms of atherosclerosis.  It is well known that in addition to traditional cli..."
2021,"Pancreatic islet dysfunction and epigenetic modifications in type 2 diabetes","Health","Investigators","Lund University",10,"The prevalence of type 2 diabetes (T2D) is increasing worldwide. Therefore, there is a need to develop new treatment strategies for T2D. Recent genome-wide association studies were expected to find disease-causing mechanisms in T2D. Surprisingly, identified genetic variants only explain a modest ..."
2021,"Selection of mutations by in silico and experimental variant effects (SIEVE): a new strategy to improve fitness in cool-season grasses","Health","Investigators","AU Aarhus University",7.99,"Quantitative genetics relies on associations between DNA changes and observed differences. These associations are useful to predict plants’ performance and select the most promising varieties. However, they are only correlations and cannot tell us what exact DNA changes are causing the observed d..."
2021,"First principal models, neural networks and functional graphical models for Defining metabolic capacity as a Tool for Personalized nutrition (FOODTOP)","Natural Sciences","Investigators","KU University of Copenhagen",9.27,"Diet and digestion of nutrients are both highly personalized and related to diseases. What if we could develop analytical tools for profiling the metabolism, that could be used to customize personal dietary recommendations which in turn would benefit health and cure diseases? We will deeply chara..."
2021,"Start package for associate professor Veronika Cheplygina: CATS - Choosing a Transfer Source for Medical Image Classification","Natural Sciences","Investigators","ITU IT University of Copenhagen",3.5,"Medical imaging algorithms, eg. for detection of abnormalities, are often trained via transfer learning - first on source (publicly available) images, and then on target (clinical) images. An important problem in data science is how to choose the source data. A poor choice will impair the algorit..."
2021,"DIRECTION - Data science driven leaf architecture optimization","Health","Programmes and collaborations","KU University of Copenhagen",17.5,"Photosynthesis, the biochemical process that converts carbon dioxide and water into oxygen and sugars in plant leaves, is the vital process to crop yield and life on Earth. Optimization of photosynthesis is therefore of crucial importance to an improved agriculture, but has largely focused on enh..."
2021,"Islet Cartography – Multi-layered mapping of islets of Langerhans in health and disease.","Natural Sciences","Investigators","SDU University of Southern Denmark",8.79,"Type 2 diabetes is a common disease that, if unmanaged, can lead to potentially fatal complications. Current treatments are symptomatic leading patients into life-long treatment regimes. This has a significant negative impact on their lives and poses a big economic burden for society. In Denmark,..."
2021,"CRISPRnet: Deep learning and data-driven CRISPR design for network-based multiplexed targeting","Health","Programmes and collaborations","KU University of Copenhagen",14.78,"The ongoing CRISPR development is revolutionizing the gene editing technology in basic and applied research. A challenge in doing CRISPR is how to make the desired edits (on-target) while avoiding unintended ones elsewhere (off-target), as these can be damaging, e.g. in therapeutics. For this com..."
2021,"Providentia: Privacy-driven Trust in Algorithms","Natural Sciences","Investigators","KU University of Copenhagen",8.41,"How do we ensure that we can trust systems that use data to make decisions? Lawmakers across the world are grappling with the question of how to properly regulate systems that collect, analyze, and use data. Getting the balance right is crucial. No regulation of data science means a risk of compr..."
2021,"Mutational processes in spermatogenesis and their consequences for human health","Health","Programmes and collaborations","AU Aarhus University",20,"Most novel mutations arise in the testes when sperm cells are produced and can cause severe psychological disorders in the offspring. It is now possible to map novel mutations that a prospective father is likely to pass on by sequencing the DNA in his sperm, but the interpretation of such data is..."
2021,"Risk-assessment of Vector-borne Diseases Based on Deep Learning and Remote Sensing","Health","Programmes and collaborations","KUM Ministry of Culture - Archives, Museums, and Royal Library Denmark",19.99,"The malaria mosquito, Anopheles stephensi, will likely spread to cities in Africa with more than 126 mil. residents, posing a serious threat of large-scale malaria outbreaks. Low-quality housing is an important risk factor for diseases spread by mosquitos. However, the relation between urban cont..."
2021,"Clinical Quality Conference","Health","Symposia and conferences","AAU Aalborg University",0.5,"The quality of healthcare delivery is paramount to patients and is the brand of a healthcare system. Data-driven quality improvement offers great potentials, and this conference will present a number of different approaches as inspiration and guidance for a learning healthcare system. The patient..."
2021,"QUAITOM – The Infrastructure for QUantitative AI-based TOMography","Health","Infrastructure","DTU Technical University of Denmark",11.51,"QUAITOM – The Infrastructure for QUantitative AI-based TOMography 3D imaging based on µCT X-rays and neutrons allows seeing structures inside materials and from this understanding mechanisms important for developing new medicine and diagnostic tools or for inventing materials for a sustainable fu..."
2021,"Personalized medicine infrastructure using the open-source OMOP common data model including an Electronic Health Record interface","Health","Infrastructure","Region Zealand",13.28,"One of the main targets of Personalized Medicine is to refine the stratification of a single patient aiming to provide improved diagnosis, prognosis, and treatment for the specific individual. This can be achieved by including not only a detailed account of the patient’s health record, but also s..."
2021,"Understanding and overcoming cancer drug resistance through experimental-computational studies of cancer cell lineage dynamics","Other","Programmes and collaborations","KU University of Copenhagen",14.49,"Ovarian cancer patients face a very poor prognosis as the disease comes back in 70% of cases despite initial response to surgery and chemotherapy. The mechanisms of treatment resistance and the origin of recurrent cancer cells remain poorly understood. Our project implements a unique combined exp..."
2021,"Associate Professor Melih Kandemir","Natural Sciences","Investigators","SDU University of Southern Denmark",4.46,"SDU is delighted to attract Research Group Leader Dr. Melih Kandemir from the Bosch Center for Artificial Intelligence, one of the top industrial research laboratories for AI in Europe. Hereby, SDU will significantly strengthen our capability within fundamental data science research to move the f..."
2021,"Massively multiplex pathogen screening by ultrasensitive fluorescence spectroscopy","Other","Programmes and collaborations","DTU Technical University of Denmark",5,"Our society has been suffering with the COVID-19 pandemic for more than one year, but we still need a very long time, at least 24 hours in Denmark, to have accurate test result for this specific and known virus. If given a decease caused by one of 1400 human pathogens that we already know, how ca..."
2021,"InnoVative management of Redox-stratified mIcRobiomes for efficienT carbon-neutral removal of organic micropollutants from residUal watErs (VIRTUE)","Engineering & Tech","Projects","DTU Technical University of Denmark",3,"Modern society takes wastewater treatment for granted. However, conventional techniques fail to respond to a major challenge, which the present-day world face: preventing the discharge of pharmaceuticals into the environment to protect wildlife and human health. Wastewater treatment relies on pol..."
2021,"Revealing structure-function relationship of novel spent grain peptides identifed by proteomics and bioinformatics (GRAINPEP)","Engineering & Tech","Projects","DTU Technical University of Denmark",3.96,"Moving towards more sustainable and environmentally friendly production and consumption is a challenging path, specifically with respect to utilization of by-products from the food industry for production of new ingredients. GRAINPEP will use an innovative approach to solve this challenge for bre..."
2021,"Atlas 2.0 of circular DNA across cells and tissues of mice - phenotypes","Health","Projects","KU University of Copenhagen",2.88,"Our insight into many diseases depends on our understanding of the cellular changes created by mutations. My research group has recently found that an otherwise overlooked group of mutations, circular DNA, is very common in tissues of healthy humans and animals. The project will continue this wor..."
2021,"Tenure-Track Assistant Professor - Valkyrie Savage","Natural Sciences","Investigators","KU University of Copenhagen",3.97," Dr. Savage recently joined the Human-Centred Computing (HCC) section at the Department of Computer Science at the University of Copenhagen (DIKU), as a Tenure-Track Assistant Professor. Her research areas align with DIKU’s investments into digital fabrication, and her methods focus around buildi..."
2021,"Recruitment of Associate Professor at the Center for Neuroplasticity and Pain, Dept. of Health Science and Technology, AAU - Daniel Ciampi de Andrade","Health","Investigators","AAU Aalborg University",5.83,"At the Faculty of Medicine, Aalborg University (AAU), collaboration between health scientists, engineers, and clinicians is the driving force behind innovations in the area of personalized medicine and data-driven solutions. The Center for Neuroplasticity and Pain (CNAP) at AAU is at the forefron..."
2021,"The Danish Data Science Academy","Natural Sciences","Education platforms","DTU Technical University of Denmark",152.5,"N/A"
2021,"The Pioneer Center for Artificial Intelligence mobility grant","Natural Sciences","Centres","Fonden til fremme af international mobilitet inden for forskning",2.53,"N/A"
2021,"Pionercenter for Artificial Intelligence v/Serge Belongie","Natural Sciences","Centres","Unknown",51.47,"N/A"
2020,"Reenvisioning the life course perspective with neural architectures: a multifaceted population wide study of disease risk","Health","Investigators","KU University of Copenhagen",25,"Health is central to the wellbeing of a person. A curious fact when looking closely at the sequence of events in an individual’s life is that there is no such thing as an average person. The uniqueness of our lives makes it hard to assign an average risk for getting a disease at some point in tim..."
2020,"Perceiving a Pre-Filtered World: Anticipated Perception in a Data-Driven Culture","Humanities","Fellowships","AU Aarhus University",1.31,"Intelligent systems have become an important part of everyday life. From search engines that help us navigate information overloads to recommendation systems that map our preferences against others, algorithms are designed to calculate what is “hot”, “trending” or “most discussed”. As we increasi..."
2020,"Deciphering the code of nuclear RNA degradation by deep learning and transcriptomics","Health","Investigators","KU University of Copenhagen",10,"The most fundamental process in molecular biology is reading of genes in DNA into RNA (transcription), which is then translated into proteins. However, we also need systems to remove RNAs from cells – RNA degradation. Because RNA degradation rates vary between different RNAs, RNA transcription an..."
2020,"Longitudinal gene expression markers conceptualised to innovate artificial intelligence platforms for the assessment of microbial food spoilage","Health","Investigators","University of Helsinki",10,"Microbial food spoilage is a major challenge for all food business operators manufacturing perishable foods. It is generally estimated that around 30% of manufactured food is spoiled mainly because of microbes. Currently the food industry has to rely on unspecific tools while setting shelf lives ..."
2020,"High Content CRISPR Screening (HCCS) Facility","Health","Infrastructure","KU University of Copenhagen",15.58,"The discovery how one quickly and efficiently turn off or on individual genes in cells using precise gene editing technologies such as “CRISPR” has revolutionized research in molecular biology over the last decade. Very recent developments in this field now allow to perform this type of gene edit..."
2020,"Scalable Optimization for Data Science","Natural Sciences","Investigators","DTU Technical University of Denmark",7.7,"The growing accumulation of data in today’s world results in complex problem sets and difficult computational challenges for data scientists. Solving these problems with existing optimization tools often requires excessive computational resources (time and memory), resulting in subpar solutions. ..."
2020,"Differentiable Physical Models for Data Analysis in Biology","Natural Sciences","Investigators","KU University of Copenhagen",7.2,"From high school mathematics and physics, most will recall that differentiation is the method by which variation can be studied. Less well-known is the fact that differentiation is also the key reason behind the recent revolution in machine learning. Neural networks need to be differentiable in o..."
2020,"Leveraging artificial intelligence for pancreatic cancer diagnosis, treatment planning and treatment outcome prediction","Natural Sciences","Investigators","KU University of Copenhagen",7.88,"Early diagnosis of pancreatic cancer is challenging due to non-specific symptoms, such as nausea and pain. Surgery remains the only hope for the complete cure, but a very low percentage of tumors can be resected. Moreover, pancreatic cancer grows close to the surrounding vessels and lymph nodes, ..."
2020,"Machine learning methods for data-driven discovery of antibiotic resistance plasmid dissemination and evolution","Health","Programmes and collaborations","KU University of Copenhagen",14.98,"Transmission of microbial genes encoding factors such as antimicrobial resistance, virulence factors or metal resistance have a crucial role in human, animal and plant health and a plethora of medical, agricultural and industrial applications. These genes are primarily transmitted from bacteria t..."
2020,"Data science approaches to study epidemiological and genetic underpinnings of hypothyroidism to pave the way for precision medicine","Health","Investigators","KU University of Copenhagen",9.18,"The overall aim of the proposal is to study the genetic and other biological and environmental factors that affect the probability of an individual for having hypothyroidism (underactive thyroid) with a focus on chronic immune-mediated hypothyroidism, Hashimoto’s thyroiditis, which is one of the ..."
2020,"Identifying Heterogeneous Treatment Effects with Machine Learning","Health","Investigators","SSI Statens Serum Institut",9.05,"Medications affects every individual differently. For some, a medication may be effective and well tolerated, others may not experience any benefits and some might even experience significant adverse events to a larger extent than other users of the same medication. Currently, when medications ar..."
2020,"Center for Basic Machine Learning Research in Life Science","Natural Sciences","Programmes and collaborations","KU University of Copenhagen",29.98,"Artificial intelligence and data science are rapidly changing how science is being conducted. Researchers increasingly rely on a data-centric view, where experimental data is used to discover patterns in data and phrase new scientific hypotheses. To extract information from data, modern data scie..."
2020,"National Health Data Science Sandbox for Training and Research","Health","Infrastructure","KU University of Copenhagen",17.76,"Large amounts of data are generated in the health care sector, such as X-ray images, genetic data, and patient records. Such data contain great amounts of information on diseases, and diagnostics and treatment can be greatly improved, if we can extract and use this information. This is the object..."
2020,"Associate Professor, Dmitriy Traytel","Natural Sciences","Investigators","KU University of Copenhagen",5.98,"Dr. Trayel has been offered the position of Associate Professor in Software Engineering in the Software, Data, People & Society (SDPS) section at the Department of Computer Science (DIKU), the University of Copenhagen. His expertise is relevant for local research and educational activities given ..."
2020,"illuminating the dark redox proteome","Health","Programmes and collaborations","KU University of Copenhagen",15,"Proteins are the work horses in the body regulating many biochemical processes in cells. A major mechanism to regulate the function of proteins is to rapidly remove or add electrons in a chemical bond which is called oxidation and reduction, respectively, and together these reactions are called r..."
2020,"Critical steps to improve T2D digital prevention (StopDia project)","Health","Projects","University of Eastern Finland",1,"Digital services are widely developed for supporting healthy lifestyle and prevention of lifestyle related diseases. For such services to be effective, people have to adhere to their use and to the lifestyle changes they promote. This requires that the services are able to meet their personal nee..."
2020,"Development of tools for screening substances, and understanding the specific roles and putative targets, endocrinologic and metabolic functions","Health","Projects","Uppsala University",0.96,"Neuroendocrine disorders are one of the fastest growing problems related to our modern lifestyle. Developing drugs able to regulate neuroendocrine signaling is a lengthy, complex, and costly process, with a high degree of uncertainty that any new drug will be successful. What is needed are faster..."
2020,"GUT MICROBIOME IN OBESITY AND TYPE 2 DIABETES IN 12,200 SWEDES","Health","Projects","Lund University",3,"The gut microbiome has been linked to obesity, type 2 diabetes (T2D) and cardiovascular disease (CVD), but human studies so far have been limited in size. In the Malmö Offspring Study and SCAPIS-Malmö and -Uppsala, with 12,200 study participants, all microorganisms (bacteria and their viruses, ph..."
2020,"Searching Chemical Space for New Catalysts","Health","Projects","KU University of Copenhagen",2.92,"So far chemists have made around 150 million different molecules. While this number may sound impressive it is just a tiny fraction of the number of possible molecules that can be made (“chemical space”) – a number much, much larger than the number of stars in the observable universe. Chemical sp..."
2020,"AUTOSECT: SYNTHETIC AUTOCRINE SYSTEMS FOR INSECTS","Health","Programmes and collaborations","DTU Technical University of Denmark",4.74,"Insects are essential to maintaining biological diversity on Earth. Yet, planet Earth is experiencing a crisis both in terms of insect abundance, diversity, and biomass, putting both our ecosystems and food supply chains at risk. Importantly, insects form a natural treasure chest for studying ani..."
2020,"Psychiatric and Somatic Comorbidity in Anorexia Nervosa: Applying Genomic and Register Data to Identify Metabolic and Psychiatric Etiological Factors","Health","Projects","AU Aarhus University",2.64,"Anorexia nervosa (AN) is a serious psychiatric disorder that often follows a chronic course. Epidemiological and genetic studies have revealed a complex role for psychiatric, metabolic, and somatic risk factors in the development of AN. Our project aims to examine the comorbidity of psychiatric d..."
2020,"Mycoviruses in biocontrol of plant pathogens (MYBIO)","Engineering & Tech","Projects","AU Aarhus University",3,"Fusarium Head Blight (FHB) threatens wheat production and food security. Fungicides are used to manage FHB, and fungicide residues can be found in the grain while without fungicides there is a risk of mycotoxins. Biological approaches to manage FHB seem promising, however, knowledge on such biolo..."
2020,"BayesFlow: Bayesian inference in normalising flows","Health","Projects","DTU Technical University of Denmark",3,"Supervised methods excel at solving specific tasks, but to fundamentally advance machine learning, we need effective unsupervised methods. These aim to discover knowledge and concepts without having a particular end-goal, similar to the way we humans learn.   In this project, we will extend a rec..."
2020,"The proteome of laser microdissected melanoma cells and tumor infiltrating lymphocytes.","Health","Projects","KU University of Copenhagen",1.39,"Treating melanoma skin cancer that has spread to other areas is very challenging due to many non-responders, development of resistance and serious side effects to available drugs. To better understand the biology in melanoma, we are studying proteins in isolated tumor cells and immune cells from ..."
2020,"Applied Artificial Intelligence for real time risk prediction of COVID-19 patients","Health","Projects","Capital Region of Denmark",1.21,"N/A"
2020,"Applied artificial intelligence for real-time assessment of patients with Covid-19","Health","Projects","KU University of Copenhagen",0.61,"N/A"
2019,"The Postprandial Human Liver","Health","Investigators","KU University of Copenhagen",9.77,"Overload of nutrients and sedentary life predisposes to obesity and liver diseases. Every time we eat, thousands of biochemical processes are activated in order to help our body digest carbohydrates, proteins and fat. The liver is of particular importance for such as it filters and regulates the ..."
2019,"Improving out-of-hospital cardiac arrest survival – a novel and multifaceted approach","Health","Investigators","Copenhagen Emergency Medical Services",9.2,"Out-of-hospital cardiac arrest is a huge health issue worldwide with 4000 new cases every year in Denmark alone. Survival is only 10%, but more than 50% may survive if defibrillated (shocked) by an automated external defibrillator (AED) within minutes. This leaves citizen bystanders in a critical..."
2019,"TOWARDS PRECISION MEDICINE IN SURGERY – AN INTEGRATIVE APPROACH COMBINING DEEP LEARNING, GENETICS AND EPIGENETICS.","Health","Investigators","Capital Region of Denmark",5.92,"Worldwide, an estimated 234 million surgical procedures are performed each year. While many patients proceed to an uneventful recovery, 15% of procedures are complicated by adverse events (AE’s), including strokes, heart attacks, blood clots and wound infections. These directly result in a 4% ris..."
2019,"[FeFe]-Hydrogenase Biodiversity - Expanding the Toolbox of H2-Producing Biocatalysts","Natural Sciences","Fellowships","Uppsala University",1.33,"[FeFe]-Hydrogenases are remarkable biocatalysts able to catalyze the formation of H2 via reduction of protons in a clean and sustainable fashion. H2 is considered as one of the most promising options for replacement of fossil fuels but its production needs improvement. The last years have seen a ..."
2019,"EuBIC Developer's Meeting 2020","Health","Symposia and conferences","SDU University of Southern Denmark",0.28,"The European Bioinformatics Community (EuBIC) is a user-oriented initiative to improve the usage of computational methods to analyse data from so-called proteomics experiments. These experiments allow us to look into the behaviour of our cells by measuring thousands of proteins at the same time. ..."
2019,"New computational methods for metalloenzymes combining theory of strong electron correlations with machine learning","Other","Programmes and collaborations","AU Aarhus University",4,"Metalloproteins mediate many important processes essential for human functioning, such as respiration. However, the presence of metallic elements makes it more difficult to understand how they work with respect to ordinary proteins. Here we propose a new methodology for simulating them accurately..."
2019,"Self-correcting Unsupervised Reaction Energies (SURE)","Other","Programmes and collaborations","DTU Technical University of Denmark",5,"The control of chemical reactions is of vital importance in many fields of science, technology, and medicine. It is usually hindered by the enormous complexity of competing reaction mechanisms, where many molecular species and elementary reaction steps coexist and compete with each other. The key..."
2019,"TrACEr: Time-Aware ConstrainEd Multimodal Data Fusion","Other","Programmes and collaborations","KU University of Copenhagen",4.37,"Our bodies are complex systems and it is challenging to understand how they work, evolve and whether those dynamics depend on certain traits. Using various sensing and imaging technologies, different types of data (relatively static data, e.g., genetics, and dynamic data, e.g., chemical compounds..."
2019,"Personalized Treatment for Rare Epileptic Disorders (PREMED)","Health","Projects","KU University of Copenhagen",1.19,"The project aims to generate a platform of human induced pluripotent stem cells (hiPSC) containing mutations relevant for rare forms of epilepsy. These mutations are inserted via gene editing tools using the CRISPR-Cas9 system. The benefit of hiPSC is that these cells can be differentiated into a..."
2019,"""Where Sky and Earth meet"". Interdisciplinary workshop between extragalaxctic astrophysics and public health applications.","Health","Symposia and conferences","KU University of Copenhagen",0.12,"The workshop ""Where Sky and Earth Meet"" will bring together 100-120 researchers and students working in Biology and Astrophysics. Even though the two fields may seem quite different at a first glance, they share a strong interest for new, revolutionary techniques such as machine learning. These n..."
2019,"Generative Models and Uncertainty Quantification (GenU) 2020","Health","Symposia and conferences","DTU Technical University of Denmark",0.18,"Artificial intelligence is making inroads into almost all branches of science as it aids with the formation of scientific hypotheses from experimental data. A fundamental challenge is, thus, to develop artificially intelligent systems that is both understandable by the human operator and able to ..."
2018,"Preemptive Treatment with Ibrutinib and Venetoclax for Newly Diagnosed Patients with Chronic Lymphocytic Leukemia who are at Increased Risk of Immune Dysfunction as Identified by a Machine Learning Algorithm","Health","Projects","Capital Region of Denmark",10.54,"N/A"
2018,"Probabilistic Shape Statistics for Disentangling Subtypes in Alzheimer’s Disease","Health","Projects","KU University of Copenhagen",1.9,"Alzheimer’s disease is characterized pathologically by the accumulation of amyloid plaques and neurofibrillary tangles. These pathological processes are thought to precede the macroscopic changes in the form of brain tissue loss and a subsequent decline in cognitive abilities. The changes, common..."
2018,"Understanding the impact of genetic variants on transcriptional activities using deep learning","Health","Projects","KU University of Copenhagen",1.5,"Although all cells in a human being contain the same DNA, different cell types display a great degree of specialization. This diversity is reflected by differences in gene activities, which are controlled by cell-type specific regulatory elements. Genetic alterations associated with diseases are ..."
2018,"Optimizing retinopathy screening in Denmark (OPTIMISM)","Health","Programmes and collaborations","Capital Region of Denmark",5.36,"Diabetic eye disease is a frequent complication in persons with diabetes. It is recommended that persons with diabetes attend regular eye screening to prevent vision loss from diabetic eye disease. In Denmark, 25% do not attend the recommended eye screening. A major aim of this project is to iden..."
2018,"Predicting mutation-induced changes in protein stability: beyond the static picture","Health","Projects","KU University of Copenhagen",1.82,"The genomes of any two human individuals will differ by a long list of mutations. Most of these are benign, but if an unfortunate mutation occurs within a protein associated region, it can alter or destabilize the 3D-structure of that protein, and thereby disrupt its biological function. Many of ..."
